Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,,Castiel x Dean Winchester,Supernatural,56363,13204,Supernatural - Castiel x Dean Winchester
2,,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,21626,9327,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
3,,Derek Hale x Stiles Stilinski,Teen Wolf,42531,7591,Teen Wolf - Derek Hale x Stiles Stilinski
4,,John Watson x Sherlock Holmes,Sherlock,46030,6661,Sherlock - John Watson x Sherlock Holmes
5,,Harry Styles x Louis Tomlinson,One Direction,27375,5732,One Direction - Harry Styles x Louis Tomlinson
6,,Clarke Griffin x Lexa,The 100,6045,4628,The 100 - Clarke Griffin x Lexa
7,,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,4601,4601,Star Wars Universe - Armitage Hux x Ben Solo | Kylo Ren
8,,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,16407,4432,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
9,,Dean Winchester x Sam Winchester,Supernatural,18972,4313,Supernatural - Dean Winchester x Sam Winchester
10,,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,6418,4220,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
11,,Hannibal Lecter x Will Graham,Hannibal,8486,3863,Hannibal - Hannibal Lecter x Will Graham
12,,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,3705,3705,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
13,,Draco Malfoy x Harry Potter,Harry Potter Universe,15176,3632,Harry Potter Universe - Draco Malfoy x Harry Potter
14,,Alec Lightwood x Magnus Bane,Mortal Instruments,4342,3277,Mortal Instruments - Alec Lightwood x Magnus Bane
15,,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,4278,3249,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime x Oikawa Tooru
16,,Bellamy Blake x Clarke Griffin,The 100,6752,3131,The 100 - Bellamy Blake x Clarke Griffin
17,,Finn x Poe Dameron,Star Wars Universe,2938,2938,Star Wars Universe - Finn x Poe Dameron
18,,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,10110,2912,Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman
19,,Felicity Smoak x Oliver Queen | Green Arrow,DC,7661,2803,DC - Felicity Smoak x Oliver Queen | Green Arrow
20,,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,6402,2725,Once Upon a Time - Emma Swan x Killian Jones | Captain Hook
21,,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,3080,2694,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
22,,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,4734,2657,Haikyuu!! | ハイキュー!! - Hinata Shouyou x Kageyama Tobio
23,,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,7238,2637,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
24,,Remus Lupin x Sirius Black,Harry Potter Universe,8005,2544,Harry Potter Universe - Remus Lupin x Sirius Black
25,,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,5398,2504,Dragon Age - Cullen Rutherford x Inquisitor | Player Character
26,,Arthur Pendragon x Merlin,Merlin,15775,2440,Merlin - Arthur Pendragon x Merlin
27,,Josh Dun x Tyler Joseph,Twenty One Pilots,3170,2403,Twenty One Pilots - Josh Dun x Tyler Joseph
28,,Gabriel x Sam Winchester,Supernatural,8511,2192,Supernatural - Gabriel x Sam Winchester
29,,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,2476,2182,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
30,,Inquisitor | Player Character x Solas,Dragon Age,3669,2096,Dragon Age - Inquisitor | Player Character x Solas
31,,Ben Solo | Kylo Ren x Rey,Star Wars Universe,2082,2082,Star Wars Universe - Ben Solo | Kylo Ren x Rey
32,,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,8809,2064,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
33,,Blaine Anderson x Kurt Hummel,Glee,12934,2034,Glee - Blaine Anderson x Kurt Hummel
34,,Gary 'Eggsy' Unwin x Harry Hart,Kingsman,3281,2002,Kingsman - Gary 'Eggsy' Unwin x Harry Hart
35,,John Watson & Sherlock Holmes,Sherlock,12484,1966,Sherlock - John Watson & Sherlock Holmes
36,,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,2383,1959,Haikyuu!! | ハイキュー!! - Akaashi Keiji x Bokuto Koutarou
37,,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,3890,1930,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America
38,,Bill Cipher x Dipper Pines,Gravity Falls,2655,1907,Gravity Falls - Bill Cipher x Dipper Pines
39,,Jared Padalecki x Jensen Ackles,Supernatural,9634,1892,Supernatural - Jared Padalecki x Jensen Ackles
40,,Sawamura Daichi x Sugawara Koushi,Haikyuu!! | ハイキュー!!,2762,1865,Haikyuu!! | ハイキュー!! - Sawamura Daichi x Sugawara Koushi
41,,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,10362,1826,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
42,,Alexander Hamilton x John Laurens,Hamilton,1807,1807,Hamilton - Alexander Hamilton x John Laurens
43,,Clarke Griffin & Lexa,The 100,2735,1804,The 100 - Clarke Griffin & Lexa
44,,Jemma Simmons x Leopold 'Leo' Fitz,Marvel,3610,1802,Marvel - Jemma Simmons x Leopold 'Leo' Fitz
45,,Frank Iero x Gerard Way,My Chemical Romance,6666,1773,My Chemical Romance - Frank Iero x Gerard Way
46,,Mark Fischbach | Markiplier x Sean McLoughlin | Jacksepticeye,Youtube,1756,1756,Youtube - Mark Fischbach | Markiplier x Sean McLoughlin | Jacksepticeye
47,,Castiel & Dean Winchester,Supernatural,4941,1752,Supernatural - Castiel & Dean Winchester
48,,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,5534,1715,Once Upon a Time - Belle x Mr. Gold | Rumpelstiltskin
49,,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,1884,1697,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin
50,,Carmilla Karnstein x Laura Hollis,Carmilla,4100,1671,Carmilla - Carmilla Karnstein x Laura Hollis
51,,Sans x Y/N | Reader,Undertale,1641,1641,Undertale - Sans x Y/N | Reader
52,,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,7712,1637,Lord of the Rings Universe - Bilbo Baggins x Thorin Oakenshield
52,,Patrick Stump x Pete Wentz,Fall Out Boy,3952,1637,Fall Out Boy - Patrick Stump x Pete Wentz
54,,Dana Scully x Fox Mulder,The X-Files,2880,1553,The X-Files - Dana Scully x Fox Mulder
55,,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,2148,1485,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
56,,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,1662,1484,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin
57,,Dean Winchester x Y/N | Reader,Supernatural,2324,1465,Supernatural - Dean Winchester x Y/N | Reader
58,,Hyakuya Mikaela x Hyakuya Yuuichirou,Seraph of the End | 終わりのセラフ,1635,1453,Seraph of the End | 終わりのセラフ - Hyakuya Mikaela x Hyakuya Yuuichirou
59,,Alphys x Undyne,Undertale,1432,1432,Undertale - Alphys x Undyne
60,,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,6865,1425,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
61,,Tsukishima Kei x Yamaguchi Tadashi,Haikyuu!! | ハイキュー!!,2188,1422,Haikyuu!! | ハイキュー!! - Tsukishima Kei x Yamaguchi Tadashi
62,,Liam Payne x Zayn Malik,One Direction,8081,1416,One Direction - Liam Payne x Zayn Malik
63,,Clint Barton | Hawkeye x Phil Coulson,Marvel,8891,1412,Marvel - Clint Barton | Hawkeye x Phil Coulson
64,,Molly Hooper x Sherlock Holmes,Sherlock,5171,1382,Sherlock - Molly Hooper x Sherlock Holmes
65,,James Bond x Q,James Bond Universe,4485,1350,James Bond Universe - James Bond x Q
65,,"James Potter x Lily Potter, née Evans",Harry Potter Universe,3441,1350,"Harry Potter Universe - James Potter x Lily Potter, née Evans"
67,,Barry Allen | The Flash x Leonard Snart | Captain Cold,DC,1461,1323,DC - Barry Allen | The Flash x Leonard Snart | Captain Cold
68,,Aaron Dingle x Robert Sugden,Emmerdale,1702,1321,Emmerdale - Aaron Dingle x Robert Sugden
69,,Peter Parker | Spiderman x Wade Wilson | Deadpool,Marvel,2755,1317,Marvel - Peter Parker | Spiderman x Wade Wilson | Deadpool
70,,Genos | Demon Cyborg x Saitama | One Punch Man/Caped Baldy,One-Punch Man | ワンパンマン,1297,1297,One-Punch Man | ワンパンマン - Genos | Demon Cyborg x Saitama | One Punch Man/Caped Baldy
71,,Rose Tyler x The Tenth Doctor,Doctor Who Universe,4710,1282,Doctor Who Universe - Rose Tyler x The Tenth Doctor
72,,Fenris x Hawke | Player Character,Dragon Age,3052,1264,Dragon Age - Fenris x Hawke | Player Character
73,,Dean Winchester & Sam Winchester,Supernatural,4159,1254,Supernatural - Dean Winchester & Sam Winchester
73,,James T. Kirk x Spock,Star Trek,7499,1254,Star Trek - James T. Kirk x Spock
75,,Hermione Granger x Ron Weasley,Harry Potter Universe,4789,1248,Harry Potter Universe - Hermione Granger x Ron Weasley
76,,Lincoln x Octavia Blake,The 100,1968,1227,The 100 - Lincoln x Octavia Blake
77,,Adam Parrish x Ronan Lynch,Raven Cycle,1613,1208,Raven Cycle - Adam Parrish x Ronan Lynch
78,,Eric Bittle x Jack Zimmermann,Check Please!,1446,1197,Check Please! - Eric Bittle x Jack Zimmermann
79,,John Sheppard x Rodney McKay,Stargate,9741,1192,Stargate - John Sheppard x Rodney McKay
80,,Han Solo x Leia Organa,Star Wars Universe,1437,1180,Star Wars Universe - Han Solo x Leia Organa
81,,Luke Hemmings x Michael Clifford,5 Seconds of Summer,2455,1168,5 Seconds of Summer - Luke Hemmings x Michael Clifford
82,,Clara Oswin Oswald x The Twelfth Doctor,Doctor Who Universe,1730,1160,Doctor Who Universe - Clara Oswin Oswald x The Twelfth Doctor
83,,Nico di Angelo x Will Solace,Percy Jackson,2268,1157,Percy Jackson - Nico di Angelo x Will Solace
84,,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,5303,1152,Attack on Titan | 進撃の巨人 - Jean Kirstein x Marco Bott
85,,Dave Strider x Karkat Vantas,Homestuck,3091,1135,Homestuck - Dave Strider x Karkat Vantas
86,,Dorian Pavus x Iron Bull,Dragon Age,1787,1130,Dragon Age - Dorian Pavus x Iron Bull
87,,Kozume Kenma x Kuroo Tetsurou,Haikyuu!! | ハイキュー!!,1581,1091,Haikyuu!! | ハイキュー!! - Kozume Kenma x Kuroo Tetsurou
88,,Enjolras x Grantaire,Les Misérables,7907,1075,Les Misérables - Enjolras x Grantaire
89,,Dorian Pavus x Inquisitor | Player Character,Dragon Age,1925,1063,Dragon Age - Dorian Pavus x Inquisitor | Player Character
90,,Daryl Dixon x Rick Grimes,The Walking Dead,2115,1055,The Walking Dead - Daryl Dixon x Rick Grimes
91,,Samantha Groves | Root x Sameen Shaw,Person of Interest,1896,1049,Person of Interest - Samantha Groves | Root x Sameen Shaw
92,,Greg Lestrade x Mycroft Holmes,Sherlock,6027,1040,Sherlock - Greg Lestrade x Mycroft Holmes
93,,Ginny Weasley x Harry Potter,Harry Potter Universe,3714,1026,Harry Potter Universe - Ginny Weasley x Harry Potter
94,,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,1003,1003,DC - Cat Grant x Kara Danvers/Zor-El | Supergirl
95,,Asami Sato x Korra,Avatar: The last Airbender Universe,2749,999,Avatar: The last Airbender Universe - Asami Sato x Korra
96,,Illya Kuryakin x Napoleon Solo,The Man From U.N.C.L.E.,1501,997,The Man From U.N.C.L.E. - Illya Kuryakin x Napoleon Solo
97,,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,1147,995,Bangtan Boys / BTS - Jung Hoseok | J-Hope x Min Yoongi | Suga
98,,Loki Laufeyson/Odinson x Y/N | Reader,Marvel,1086,992,Marvel - Loki Laufeyson/Odinson x Y/N | Reader
99,,Uchiha Sasuke x Uzumaki Naruto,Naruto,2935,987,Naruto - Uchiha Sasuke x Uzumaki Naruto
100,,Ian Gallagher x Mickey Milkovich,Shameless,6884,982,Shameless - Ian Gallagher x Mickey Milkovich
